,file,particle,script_version_git,date,frame,y_micron,x_micron,D,A,P,Dist,serum
70,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,10,14.21853994,24.76064488,0.151309162,511.8639284,19.58713711,8.033487867,1
71,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,11,14.28730265,24.65758135,0.123896737,511.8776401,19.59399295,8.023167658,1
72,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,12,14.2220214,24.64593976,0.066311147,511.9736218,19.60084879,8.102162679,1
73,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,13,14.1435086,24.59273501,0.094842001,511.836505,19.56656958,8.132296477,1
74,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,14,14.22951601,24.61418322,0.088641414,512.1107387,19.62827215,8.052133475,1
75,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,15,14.26262189,24.56006977,0.063437093,512.2341438,19.66255135,8.105684924,1
76,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,16,14.12142971,24.71626988,0.210555708,512.2409996,19.52543454,8.101942915,1
77,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,17,14.05461765,24.61571713,0.120725751,511.9530543,19.54600206,8.203816873,1
78,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,18,14.18787089,24.75749722,0.194571375,512.2272879,19.60770463,8.058946241,1
79,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,19,14.19542446,24.74965508,0.010888323,511.8022258,19.53914622,8.045285416,1
80,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,20,14.22934262,24.70588044,0.055377438,512.5975034,19.63512799,8.072453684,1
81,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,21,14.12795253,24.79835313,0.137226633,513.0774122,19.62827215,8.117922008,1
82,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,22,14.11717317,24.7212645,0.077838625,512.2889905,19.68997472,8.176129452,1
83,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,23,14.15483137,24.7408895,0.042465052,512.700341,19.64883967,8.114549465,1
84,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,24,14.25855316,24.72015053,0.10577483,513.1116914,19.61456047,8.094281846,1
85,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,25,14.31281786,24.72012993,0.054264704,513.4956185,19.66255135,7.997606054,1
86,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,26,14.23070607,24.49596455,0.238730944,513.1254031,19.66940719,8.216862121,1
87,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,27,14.22192337,24.37954384,0.11675152,512.8100344,19.60770463,8.306609089,1
88,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,28,14.22841414,24.61509206,0.235637633,512.3712606,19.64883967,8.184897585,1
89,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,29,14.41846547,24.54728093,0.201786663,512.3781164,19.65569551,8.068666566,1
90,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,0,15.75512971,21.52836531,,513.7492846,19.53229038,7.512131968,1
91,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,1,15.64041292,21.32045076,0.237462422,513.5710327,19.5185787,7.627408646,1
92,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,2,15.68094947,21.34556178,0.047684119,512.1655854,19.57342542,7.585870542,1
93,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,3,15.62914776,21.38414456,0.064591393,512.3849723,19.49801117,7.720694991,1
94,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,4,15.45544562,21.29823257,0.193786747,511.9941894,19.52543454,7.894177694,1
95,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,5,15.66242311,21.37713455,0.221506668,512.7483318,19.64883967,7.614852713,1
96,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,6,15.76389408,21.48222992,0.146086942,512.8168903,19.58713711,7.512371429,1
97,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,7,15.66961244,21.38375678,0.136330433,512.4878099,19.59399295,7.680018575,1
98,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,8,15.67009773,21.42611317,0.04235917,512.439819,19.60084879,7.635053488,1
99,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,9,15.71902132,21.50965732,0.096814992,511.9461985,19.62141631,7.560152394,1
100,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,10,15.79764017,21.48248625,0.083181672,511.8639284,19.58713711,7.459094517,1
101,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,11,15.70100802,21.40814271,0.121921017,511.8776401,19.59399295,7.65745349,1
102,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,12,15.70188974,21.34926304,0.058886271,511.9736218,19.60084879,7.684483157,1
103,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,13,15.68488311,21.32433744,0.030174675,511.836505,19.56656958,7.703433105,1
104,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,14,15.73401409,21.21910578,0.116135935,512.1107387,19.62827215,7.606181751,1
105,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,15,15.65441759,21.26868253,0.093773434,512.2341438,19.66255135,7.701789657,1
